H1,Er1,W1,W2,T1,Zo
12.9,3.2,4,3.5,0.7,122.3878
13,3.2,4,3.5,0.7,122.6978
13.1,3.2,4,3.5,0.7,123.0254
13.2,3.2,4,3.5,0.7,123.3323
13.3,3.2,4,3.5,0.7,123.6369
13.4,3.2,4,3.5,0.7,123.9393
13.5,3.2,4,3.5,0.7,124.2396
13.6,3.2,4,3.5,0.7,124.5377
13.7,3.2,4,3.5,0.7,124.8323
13.8,3.2,4,3.5,0.7,125.1262
13.9,3.2,4,3.5,0.7,125.418
14,3.2,4,3.5,0.7,125.7078
14.1,3.2,4,3.5,0.7,125.9956
14.2,3.2,4,3.5,0.7,126.2814
14.3,3.2,4,3.5,0.7,126.5765
14.4,3.2,4,3.5,0.7,126.8585
14.5,3.2,4,3.5,0.7,127.1372
14.6,3.2,4,3.5,0.7,127.4155
14.7,3.2,4,3.5,0.7,127.6919
14.8,3.2,4,3.5,0.7,127.9714
14.9,3.2,4,3.5,0.7,128.2441
15,3.2,4,3.5,0.7,128.5034
2,3.4,4,3.5,0.7,51.3753
2.1,3.4,4,3.5,0.7,52.9033
2.2,3.4,4,3.5,0.7,54.3581
2.3,3.4,4,3.5,0.7,55.7849
2.4,3.4,4,3.5,0.7,57.1593
2.5,3.4,4,3.5,0.7,58.4936
2.6,3.4,4,3.5,0.7,59.7863
2.7,3.4,4,3.5,0.7,61.0493
2.8,3.4,4,3.5,0.7,62.2795
2.9,3.4,4,3.5,0.7,63.4636
3,3.4,4,3.5,0.7,64.6046
3.1,3.4,4,3.5,0.7,65.7417
3.2,3.4,4,3.5,0.7,66.8384
3.3,3.4,4,3.5,0.7,67.9084
3.4,3.4,4,3.5,0.7,68.9515
3.5,3.4,4,3.5,0.7,69.9697
3.6,3.4,4,3.5,0.7,70.9755
3.7,3.4,4,3.5,0.7,71.9604
3.8,3.4,4,3.5,0.7,72.9108
3.9,3.4,4,3.5,0.7,73.8407
4,3.4,4,3.5,0.7,74.7502
4.1,3.4,4,3.5,0.7,75.6405
4.2,3.4,4,3.5,0.7,76.5088
4.3,3.4,4,3.5,0.7,77.363
4.4,3.4,4,3.5,0.7,78.2116
4.5,3.4,4,3.5,0.7,79.0323
4.6,3.4,4,3.5,0.7,79.8373
4.7,3.4,4,3.5,0.7,80.6271
4.8,3.4,4,3.5,0.7,81.4178
4.9,3.4,4,3.5,0.7,82.1792
5,3.4,4,3.5,0.7,82.9264
5.1,3.4,4,3.5,0.7,83.6609
5.2,3.4,4,3.5,0.7,84.3826
5.3,3.4,4,3.5,0.7,85.1021
5.4,3.4,4,3.5,0.7,85.7996
5.5,3.4,4,3.5,0.7,86.5009
5.6,3.4,4,3.5,0.7,87.1761
5.7,3.4,4,3.5,0.7,87.8396
5.8,3.4,4,3.5,0.7,88.4934
5.9,3.4,4,3.5,0.7,89.1369
6,3.4,4,3.5,0.7,89.7622
6.1,3.4,4,3.5,0.7,90.3863
6.2,3.4,4,3.5,0.7,91.0245
6.3,3.4,4,3.5,0.7,91.6297
6.4,3.4,4,3.5,0.7,92.2269
6.5,3.4,4,3.5,0.7,92.7976
6.6,3.4,4,3.5,0.7,93.3776
6.7,3.4,4,3.5,0.7,93.9495
6.8,3.4,4,3.5,0.7,94.512
6.9,3.4,4,3.5,0.7,95.0685
7,3.4,4,3.5,0.7,95.6308
7.1,3.4,4,3.5,0.7,96.1727
7.2,3.4,4,3.5,0.7,96.7076
7.3,3.4,4,3.5,0.7,97.2499
7.4,3.4,4,3.5,0.7,97.7712
7.5,3.4,4,3.5,0.7,98.286
7.6,3.4,4,3.5,0.7,98.7935
7.7,3.4,4,3.5,0.7,99.2957
7.8,3.4,4,3.5,0.7,99.7918
7.9,3.4,4,3.5,0.7,100.2959
8,3.4,4,3.5,0.7,100.7804
8.1,3.4,4,3.5,0.7,101.2594
8.2,3.4,4,3.5,0.7,101.7328
8.3,3.4,4,3.5,0.7,102.1998
8.4,3.4,4,3.5,0.7,102.6624
8.5,3.4,4,3.5,0.7,103.12
8.6,3.4,4,3.5,0.7,103.5838
8.7,3.4,4,3.5,0.7,104.0444
8.8,3.4,4,3.5,0.7,104.4566
8.9,3.4,4,3.5,0.7,104.91
9,3.4,4,3.5,0.7,105.3434
9.1,3.4,4,3.5,0.7,105.7722
9.2,3.4,4,3.5,0.7,106.1966
9.3,3.4,4,3.5,0.7,106.6151
9.4,3.4,4,3.5,0.7,107.0308
9.5,3.4,4,3.5,0.7,107.4424
9.6,3.4,4,3.5,0.7,107.8498
9.7,3.4,4,3.5,0.7,108.2532
9.8,3.4,4,3.5,0.7,108.6527
9.9,3.4,4,3.5,0.7,109.0632
10,3.4,4,3.5,0.7,109.4627
10.1,3.4,4,3.5,0.7,109.8508
10.2,3.4,4,3.5,0.7,110.2354
10.3,3.4,4,3.5,0.7,110.6163
10.4,3.4,4,3.5,0.7,110.9937
10.5,3.4,4,3.5,0.7,111.3677
10.6,3.4,4,3.5,0.7,111.7349
10.7,3.4,4,3.5,0.7,112.1021
10.8,3.4,4,3.5,0.7,112.4645
10.9,3.4,4,3.5,0.7,112.8391
11,3.4,4,3.5,0.7,113.1967
11.1,3.4,4,3.5,0.7,113.5513
11.2,3.4,4,3.5,0.7,113.9027
11.3,3.4,4,3.5,0.7,114.2512
11.4,3.4,4,3.5,0.7,114.5968
11.5,3.4,4,3.5,0.7,114.9453
11.6,3.4,4,3.5,0.7,115.285
11.7,3.4,4,3.5,0.7,115.6219
11.8,3.4,4,3.5,0.7,115.9561
11.9,3.4,4,3.5,0.7,116.2876
12,3.4,4,3.5,0.7,116.6294
12.1,3.4,4,3.5,0.7,116.9557
12.2,3.4,4,3.5,0.7,117.2794
12.3,3.4,4,3.5,0.7,117.599
12.4,3.4,4,3.5,0.7,117.9176
12.5,3.4,4,3.5,0.7,118.2337
12.6,3.4,4,3.5,0.7,118.5474
12.7,3.4,4,3.5,0.7,118.8587
12.8,3.4,4,3.5,0.7,119.1676
12.9,3.4,4,3.5,0.7,119.4742
13,3.4,4,3.5,0.7,119.7771
13.1,3.4,4,3.5,0.7,120.0973
